topic,center,start,target,num
0c8e4,10ba6,bf6ec,ec61d,1
0c8e4,10ba6,ec61d,089b6,2
0c8e4,10ba6,ec61d,808b4,1
0c8e4,10ba6,ec61d,87dad,3
0c8e4,10ba6,ec61d,a4b95,2
0c8e4,10ba6,ec61d,a6d73,1
0c8e4,10ba6,ec61d,b2c46,1
0c8e4,10ba6,ec61d,e6b23,1
0c8e4,10ba6,f4624,089b6,2
0c8e4,10ba6,f4624,808b4,2
0c8e4,10ba6,f4624,a4b95,1
0c8e4,10ba6,f4624,b2c46,1
0c8e4,10ba6,f4624,e6b23,3
